id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,47
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66
11,Golden Hour Vows,Marigold & Wren,folk,nostalgic,0.45,96,0.62,0.48,0.75,35
12,Crimson Static,Riot Frequency,punk,angry,0.95,168,0.35,0.55,0.05,52
13,Velvet Confession,Nadia Reyes,r&b,romantic,0.50,88,0.70,0.65,0.40,60
14,Harvest Moon Waltz,The Hollow Pines,country,peaceful,0.33,84,0.68,0.42,0.70,33
15,Neon Cathedral,Kilo Sunrise,house,euphoric,0.88,126,0.90,0.91,0.08,74
16,Paper Boats,Mirelle Suarez,classical,melancholic,0.22,66,0.30,0.20,0.95,22
17,Copper Skyline,DJ Solace,hip hop,playful,0.70,96,0.75,0.85,0.15,83
18,Salt and Sirens,Coral Drift,reggae,dreamy,0.48,92,0.66,0.70,0.50,44
19,Iron Choir,Obsidian Veil,metal,triumphant,0.97,140,0.55,0.60,0.03,56
20,Blue Hour Static,Tomas Vela,blues,anxious,0.40,76,0.40,0.45,0.60,30
